,Song Name,Album Name,Group Name,Lyrics
10,12:34,12:34 [Bonus Track],Authority Zero,"What you waiting for? What you waiting for?  Still pending and wishing now on every star in the sky That everything would be alright Falling down to your knees With promises that you'd intended to keep What good are the words we speak?  Perhaps some other time when everything's in place When all the stars align reveling all the answers that we seek That place where violence will not fix everything Does it fix anything? Can you tell me?  What you waiting for? What you waiting for? What you waiting for?  Sinking in the sand, a revelation that you had So long it goes, away now clouded by the smoke That place were happiness and broken dreams align And become the life that you seek It was all that you needed  Perched in the corner with your hand on your ears To stop the dribbling of words that keep on pouring out in fear Finding yourself at the end of the race or merely falling behind Can you tell me? What you waiting for?  What you waiting for? What you waiting for? What you waiting for?  Can you? Can you tell me?"
11,12XU,Complete Discography,Minor Threat,1-2-X-you!  Saw you in a mag Kissing a man Saw you in a mag Kissing a man  Saw you in a mag Kissing a man Saw you in a mag Kissing a man yeah  Saw you in a mag Kissing a man Saw you in a mag Kissing a man  Smoking a fag Kissing a man Saw you in a mag Kissing a man yeah  Got you in a corner   Got you in a cottage  Got you in a corner   Oh no no no  Flex Your Head  1-2-X-you  Flex Your Head!
12,13 Voices,13 Voices,Sum 41,"Where do I begin? Is my story still untold? Left to be unwritten Like memories to unfold And I don't believe the truth It doesn't make me feel alive The truth's just overrated We've all got something to hide  'Cause lies make it so much fun So sing the praise of insincerity  Make this your last prayer As the dream becomes your worst nightmare  I'm not your savior or a saint No use praying for escape I'll be there just to put the bullet in your head Just another crying shame Life is such a deadly game Gone wrong, fire at will Put a bullet in his head  Pay me no more mind Have I really come undone? I left the world this evening Just to kill the sun And I've got no more to bleed All that's left will soon be gone Especially before my mind fades like the stars at dawn  Well I bet you got a lot to say So have it your way and crucify me  Maybe is your your last prayer As the dream becomes your worst nightmare  I'm not your savior or a saint No use praying for escape I'll be there just to put the bullet in your head Just another crying shame Life is such a deadly game Gone wrong, fire at will Put a bullet in his head  Breathless kiss to end all this I fall, I say goodbye to all Close my eyes oh sweet demise A love that no one understands  And I don't believe in redemption And no one will be spared There's thirty-two ways you can die here tonight It's a fucking family affair  I'm not your savior or a saint No use praying for escape I'll be there just to put the bullet in your head Just another crying shame Life is such a deadly game Gone wrong, fire at will Put a bullet in his head"
13,14th Floor,Part Time Punks: The Very Best of Television Personalities,Television Personalities,"I'm looking down on London But there's little I can see 'cause I'm living so high up And it looks so small to me And I'm feeling so frustrated 'cause the lifts are out once more And when I get home from work tonight I gotta climb 14 floors, I tell you mate  14th floor Oh no, my face don't fit 14th floor Just a number on the council list 14th floor Oh no, there's nothing to do 14th floor It's got a roof, it hasn't got a view  I've lived here for seven years now But I don't know anyone I think the bloke next door is a Jamaican But he could be an Irishman And life's no fun in a tower block When you're locked behind your door I think I must have had enough Of living on the 14th floor, I tell you mate  14th floor Oh no my face don't fit 14th floor No no another number on the council list 14th floor  No no no there's nothing to do 14th floor No no no it hasn't got a view 14th floor No no no I've really got to go 14th floor Had enough of yesterday's show 14th floor Oh no my face don't fit 14th floor Just a number on the council list"
14,17 Years,Jarchives: 10 Years of Bodyjar,Bodyjar,Seen how you treat her Don't wanna turn out like you So well adjusted You leave me feeling confused  I've wasted The last seventeen years of my life I'm not going back But I'm not gonna run away Anymore Not anymore  Under the carpet You know the things that kids say Cracks in the in mirror Words in a darkened hallway  All I remember Spending December alone Blank photo pages There's nothing left in my home  I've wasted The last seventeen years of my life I'm not going back But I'm not gonna run away Anymore Not anymore X2
15,1945,Story of My Life...And Other Stories [EP],Social Distortion,"Atom bomb, TNT New disease, poor city Flying over Hiroshima, 1945 The city looks small from way up here I wonder who'll survive   Atom bomb, TNT New disease, poor city A blinding flash hotter than the sun Dead bodies lie across the path The radiation colors the air Finishing one by one"
16,1969,Live in Detroit 2003,Iggy & the Stooges,Well it's 1969 OK all across the USA It's another year for me and you Another year with nothing to do Last year I was twenty one I didn't have a lot of fun And now I'm gonna be twenty two I say oh my and a boo-hoo It's 1969 OK all across the USA It's another year for me and you Another year with nothing to do Another year with nothing to do It's 1969 1969 1969 1969 1969 baby And it's 1969 bayyybee Baby Baby Baby
17,1977,Clash on Broadway,The Clash,"In 1977 I hope I go to heaven Cause I been too long on the dole And I can't work at all  Danger stranger You better paint your face No Elvis, Beatles, or the Rolling Stones In 1977  In 1977 Knives in West Eleven Lent so lucky to be rich Sten guns in Knightsbridge  Danger stranger You better paint your face No Elvis, Beatles or the Rolling Stones In 1977  In 1977 You're on the never never You think it can't go on forever But the papers say it's better I don't care 'cause I'm not all there No Elvis, Beatles or the Rolling Stones  In 1977 Sod the jubilee In 1978 In 1979 Stayed in bed In 1980 In 1981 The toilet don't work In 1982 In 1983 Here come the police In 1984"
18,1985,A Hangover You Don't Deserve,Bowling for Soup,"Woohoo Woohoo  Debbie just hit the wall She never had it all One Prozac a day Husbands a CPA Her dreams went out the door When she turned twenty four Only been with one man What happened to her plan?  She was gonna be an actress She was gonna be a star She was gonna shake her ass On the hood of White Snake's car Her yellow SUV, is now the enemy Looks at her average life And nothing has been alright  Since Bruce Springsteen, Madonna Way before Nirvana There was U2 and Blondie And music still on M-T-V Her two kids in high school They tell her that she's uncool 'Cause she's still preoccupied With 19, 19, 1985  Woohoo (1985) Woohoo  She's seen all the classics She knows every line Breakfast Club, Pretty In Pink Even Saint Elmo's Fire She rocked out to Wham! Not a big Limp Bizkit fan Thought she'd get a hand On a member of Duran Duran  Where's the mini-skirt made of snake skin And who's the other guy singing in Van Halen When did reality become T.V. What ever happened to sitcoms, game shows (On the radio was)  Bruce Springsteen, Madonna Way before Nirvana There was U2 and Blondie And music still on M-T-V Her two kids in high school They tell her that she's uncool 'Cause she's still preoccupied With 19, 19, 1985  Woohoo  She hates time make it stop When did Motley Crue become classic rock? And when did Ozzy become an actor? Please make this Stop! Stop! Stop! And bring back  Springsteen, Madonna Way before Nirvana There was U2 and Blondie And music still on M-T-V Her two kids in high school They tell her that she's uncool 'Cause she's still preoccupied 1985  Bruce Springsteen, Madonna Way before Nirvana There was U2 and Blondie And music still on M-T-V Her two kids in high school They tell her that she's uncool But she's still preoccupied With 19, 19, 1985"
19,2000 Mädchen,Das Beste von Kurz Nach Früher bis Jetze,Die Ärzte,"Wumme, Wumme, Wumme, Wumme, Wumme, Wumme  Ich ruf' Dich an so oft ich kann Ich flüster' in Dein Ohr, ohoh Ich kenn' nur Deine Stimme und den Rest stell' ich mir vor, ohoh  Ich will genau jetzt bei Dir sein, für Minuten bist Du mein Denn viel zu viele Mädchen sind heut' Abend ganz allein  Ich ruf sie an 2000 Mädchen 2000 Mädchen, 2000 2000 Mädchen ich ruf sie an 2000 Mädchen, 2000, 2000  Manchmal ist Dein Vater dran, zu fremden ist er nett, ohoh Er sagt, Du müsstest früh aufstehen und Du liegst schon im Bett, ohoh  2000 Mädchen Ich ruf sie an 2000 Mädchen, 2000, 2000  Ich ruf' Dich an so oft ich kann, So oft ich kann, so oft ich kann,  Ich ruf' Dich, Ich ruf' Dich Den Rest stell' ich mir vor, ohoh   Ich träume, dass Du bei mir bist (träume dass Du bei mir bist) Ich stell mir vor das du mich küsst (stell mir vor das du mich küsst) Ich will alles tun, dass Du mich nie vergisst  Ich ruf sie an 2000 Mädchen 2000 Mädchen, 2000 2000 Mädchen ich ruf sie an 2000 Mädchen, 2000, 2000  Du gehst nicht mehr ans Telefon, das ist nicht fair von Dir, ohoh Du gehst nicht mehr ans Telefon, denn Du hast Angst vor mir, ohoh  Oh, die Zeit mit Dir war schön (die Zeit mit Dir war schön) Leider werd' ich Dich nie sehen (Leider werd' ich Dich nie sehen) Doch es gibt genügend Mädchen, die im Telefonbuch stehen   Ich ruf sie an 2000 Mädchen 2000 Mädchen, 2000 2000 Mädchen ich ruf sie an 2000 Mädchen, 2000, 2000, 2000  2000 Mädchen (2000 Mädchen) 2000 Mädchen (2000 Mädchen) 2000 Mädchen (2000 Mädchen) 2000 Mädchen (2000 Mädchen)  3000 Mädchen (2000 Mädchen) 4000 Mädchen (2000 Mädchen) 5000 Mädchen (2000 Mädchen) 6000 Mädchen (2000 Mädchen) 8000 Mädchen (2000 Mädchen) 11000 Mädchen (2000 Mädchen) 100000 Mädchen (2000 Mädchen) 2000000 Mädchen (2000 Mädchen)"
20,21 Guns [Live],Awesome as F**k,Green Day,"Do you know what's worth fighting for, When it's not worth dying for? Does it take your breath away And you feel yourself suffocating? Does the pain weigh out the pride? And you look for a place to hide? Did someone break your heart inside? You're in ruins  One, twenty one guns Lay down your arms Give up the fight One, twenty one guns Throw up your arms into the sky, You and I  When you're at the end of the road And you lost all sense of control And your thoughts have taken their toll When your mind breaks the spirit of your soul Your faith walks on broken glass And the hangover doesn't pass Nothing's ever built to last You're in ruins  One, twenty one guns Lay down your arms Give up the fight One, twenty one guns Throw up your arms into the sky, You and I  Did you try to live on your own When you burned down the house and home? Did you stand too close to the fire? Like a liar looking for forgiveness from a stone  When it's time to live and let die And you can't get another try Something inside this heart has died You're in ruins  One, twenty one guns Lay down your arms Give up the fight One, twenty one guns Throw up your arms into the sky,  One, twenty one guns Lay down your arms Give up the fight One, twenty one guns Throw up your arms into the sky, You and I"
21,21st Century (Digital Boy),All Ages,Bad Religion,"I can't believe it The way you look sometimes Like a trampled flag on a city street Oh yeah  And I don't want it The things you're offering me Symbolized barcode, quick I.D Oh yeah  'Cause I'm a twenty-first century digital boy I don't know how to live but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual Ain't life a mystery, yeah?  I can't explain it The things you're're saying to me It's going yeah, yeah, yeah, yeah, yeah, yeah, yeah Oh yeah  'Cause I'm a twenty-first century digital boy I don't know how to read but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual, oh Ain't life a mystery, yeah?   Tried to tell you about no control But now I really don't know And then you told me how bad you had to suffer Is that really all you have to offer?  'Cause I'm a twenty-first century digital boy I don't know how to live but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual, yeah  (Twenty-first century digital boy) cats, sports, iron claw (Twenty-first century digital boy) neurosurgeon screams for more (Twenty-first century digital boy) innocents raped with napalm fire (Twenty-first century digital boy) everything I want, I really need  Ain't life a mystery, yeah?"
22,21st Century Digital Boy,Live at the Palladium,Bad Religion,"I can't believe it The way you look sometimes Like a trampled flag on a city street Oh yeah  And I don't want it The things you're offering me Symbolized barcode, quick I.D Oh yeah  'Cause I'm a twenty-first century digital boy I don't know how to live but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual Ain't life a mystery, yeah?  I can't explain it The things you're're saying to me It's going yeah, yeah, yeah, yeah, yeah, yeah, yeah Oh yeah  'Cause I'm a twenty-first century digital boy I don't know how to read but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual, oh Ain't life a mystery, yeah?   Tried to tell you about no control But now I really don't know And then you told me how bad you had to suffer Is that really all you have to offer?  'Cause I'm a twenty-first century digital boy I don't know how to live but I got a lot of toys My daddy's a lazy middle-class intellectual My mommy's on Valium, so ineffectual, yeah  (Twenty-first century digital boy) cats, sports, iron claw (Twenty-first century digital boy) neurosurgeon screams for more (Twenty-first century digital boy) innocents raped with napalm fire (Twenty-first century digital boy) everything I want, I really need  Ain't life a mystery, yeah?"
23,22 Grand Job,Retreat,The Rakes,"22 grand job In the city it's alright 22 grand job In the city it's alright 22 grand job In the city that sounds nice, It's alright, it's alright In the city it's alright  Come from the work, looks alright Put the lattitude right Different sails lots of tunes What am I supposed to do? But he's only 28 No more 22 It's alright, it's alright In the city it's alright    Dancing up street Thursday night In the city that sounds nice Looking sharp in my (calise?) Did we do the same degree? I've said less to me all week Got to go on Emily That's alright, that's alright If the money is alright    22 grand job 22 grand job 22 grand job 22 grand job In the city that sounds nice"
24,28 Days,28 Days,28 Days,"Right, that's all it is right  Two eight days in the mother fucking house  You know you get fresh within the stomach without  Its like D.O.P.E and my name is Jay  But you can call me super yeah 28 Days  Your fired up getting busy get your head pumping  Right in the fucking house and the crowd is like thumping  Melt a little wax and now that is a fact  And you know I get fatter I don't ya think  I would know that   That's all it is right   His name is herbert now be don't be so wacked  He'll try to come on till his mad at his axe  On his bass as he kicks it till he fucks up the mix  Triple the help with a funky bass richer  Or we got the fat part on drums and you know it  If there's a cover up so that you know he will throw it If there's a hook up you know that he'll fold  His a bottle with a fat axe I know he won't blow it   Right, that's all it is right  Were crew 2 8 D A why S  Crew 2 8 D A why S  Crew 2 8 D A why S"
25,2AM,Chronchitis,Slightly Stoopid,"Two in the morning, police knockin' at my door, what for?  Never know the reasons they be coming packin' And then they're coming through I tell them ""He just kick down my door"" Even though I'm on the floor with a gun to my head.  All the reason that I'm holdin' all the trees And I gotta a lot a weed They be spottin' me with infa-red In the mood and I'm, "" who the hell is you?"" Still they comin through, holdin up the innocent yeah.  Three in the mornin in the cell you'll get harassed by the man Call my girl, baby coming just as quick as she can With the money for the 'case' we's gonna make it alright Even though my weed and money could afford it tonight.  And leave the 'case' to detonate inside the place when I'm gone, Tellin all the places, yo, I ought to handle all this alone I say somethin' wrong? wait, who the hell is you? Aw you coming through, holdin' up them innocent yeah.  Four in the mornin, police knockin' at my door, what for? Bet I know the reasons he comin' back and And then they comin through, I tell them ""He just kicked down my door"" Even though I'm on the floor with a gun to my head  And all the reason that I'm holdin all the trees And I gotta a lot a weed They be spottin' me with infa-red In the mood singing, ""who the hell is you?"" Oh you comin' through, holdin' up the innocent yeah."
26,30 Seconds Over Tokyo,Terminal Tower,Pere Ubu,Flew off early in the haze of dawn In a metal dragon locked in time Skimming waves of an underground sea In some kind of a dream world fantasy  Sun a hot circle on a canopy '25 a racing blot on a bright green sea Ahead the dim blur of an alien land Time to give ourselves to strange gods' hands  Dark flak spiders bursting in the sky Reaching twisted claws on every side No place to run No place to hide No turning back on a suicide ride  Toy city streets crawling through my sights Sprouting clumps of mushrooms like a world surreal This dream won't ever seem to end And time seems like it'll never begin Thirty seconds And a one way ride Thirty seconds And no place to hide Thirty seconds over Tokyo
27,40 Oz On Repeat,40oz. On Repeat,FIDLAR,"I don’t know why it’s so difficult for me To talk to somebody I don’t know Well I’ve tried to ask you out about a thousand times In my head, you just always say no ..."
28,40 OZ to Freedom,Gold,Sublime,"You've got your hair permed You've got your red dress on Screamin' that second gear was such a turn on And the fog forming on my window tells me that the morning here And you'll be gone before too long  Who taught you those new tricks? Damn I shouldn't start that talk, but life is one big question when your starin' at the clock And the answers always waiting at the liquor store, 40 oz to Freedom, so I'll take that walk.  And I know that ohhhh, I'm not comin' back Oh not going back God knows not going back  You look so fine when you lie it just don't show, That I know which way the wind blows 40 oz to freedom is the only chance I have to feel good, Even though I feel bad  And I know that oh, I'm not comin' back Oh not going back God knows I'm not going back God knows I'm not going back"
29,40 Oz. On Repeat,40Oz on Repeat: West Coast,FIDLAR,"I don’t know why it’s so difficult for me To talk to somebody I don’t know Well I’ve tried to ask you out about a thousand times In my head, you just always say no ..."
30,40 Oz. to Freedom,40 Oz. to Freedom,Sublime,"You've got your hair permed You've got your red dress on Screamin' that second gear was such a turn on And the fog forming on my window tells me that the morning's here And you'll be gone before too long  Who taught you those new tricks? Damn I shouldn't start that talk, But life is one big question when your starin' at the clock And the answers always waiting at the liquor store, forty ounce to freedom So I take that walk  And I know that oh, I'm not comin' back Oh not going back Oh God knows not going back Oh not goin'  And you look so fine, when you lie, it just don't show, But I know which way the wind blows A forty ounce to freedom is the only chance I have to feel good Even though I feel bad  And I know that, oh, I'm not goin' back Oh not going back Oh God knows I'm not going back Ohh  Oh, I'm not goin' back Oh not going back Oh God knows I'm not going back Ohh"
31,40oz to Freedom,40oz to Freedom [LP],Sublime,"You've got your hair permed You've got your red dress on Screamin' that second gear was such a turn on And the fog forming on my window tells me that the morning's here And you'll be gone before too long  Who taught you those new tricks? Damn I shouldn't start that talk, But life is one big question when your starin' at the clock And the answers always waiting at the liquor store, 40 oz to freedom, So I take that walk.  And I know that oh, I'm not comin' back Oh not going back Oh God knows not going back Oh not goin'  You look so fine, when you lie, it just don't show, That I know which way the wind blows 40 oz to freedom is the only chance I have to feel good, Even though I feel bad  And I know that, oh, I'm not goin' back Oh not going back God knows I'm not going back God knows I'm not going back  Oh, I'm not goin' back Oh not going back God knows I'm not going back God knows I'm not going back"
32,40oz. on Repeat,Too,FIDLAR,"I don’t know why it’s so difficult for me To talk to somebody I don’t know Well I’ve tried to ask you out about a thousand times In my head, you just always say no ..."
33,40oz. To Freedom,40 Oz. to Freedom [LP],Sublime,"You've got your hair permed You've got your red dress on Screamin' that second gear was such a turn on And the fog forming on my window tells me that the morning here And you'll be gone before too long  Who taught you those new tricks? Damn I shouldn't start that talk, but life is one big question when your starin' at the clock And the answers always waiting at the liquor store, 40 oz to Freedom, so I'll take that walk.  And I know that ohhhh, I'm not comin' back Oh not going back God knows not going back  You look so fine when you lie it just don't show, That I know which way the wind blows 40 oz to freedom is the only chance I have to feel good, Even though I feel bad  And I know that oh, I'm not comin' back Oh not going back God knows I'm not going back God knows I'm not going back"
34,4th of July,See How We Are,X,"She's waitin' for me When I get home from work Oh, but things ain't just the same She turns out the light And cries in the dark Won't answer when I call her name   On the stairs I smoke a Cigarette alone Mexican kids are shootin' Fireworks below Hey baby, it's the Fourth of July Hey baby, it's the Fourth of July   She gives me her cheek When I want her lips But I don't have the strength to go On the lost side of town In a dark apartment We gave up trying so long ago   On the stairs I smoke a Cigarette alone Mexican kids are shootin' Fireworks below Hey baby, it's the Fourth of July Hey baby, it's the Fourth of July   What ever happened I Apologize So dry your tears and baby Walk outside, it's the Fourth of July   On the stairs I smoke a Cigarette alone Mexican kids are shootin' Fireworks below Hey baby, it's the Fourth of July Hey baby, Baby take a walk outside"
35,5 Minutes,Giants and Gems: An Album Collection,The Stranglers,I need a dream where I can live what I said I need a place where I can put my head I need a whole where I'll find darkness now And if you hassle me mister I might just Loose my head  Five minutes and you're almost there Five minutes and you're almost dead Five minutes and you're almost there Five minutes and you're almost dead  They came on a Saturday night They killed his cat and they raped his wife And in their eyes there was fear and hate And when they spoke they spoke with knives  Five minutes and you're almost there Five minutes and you're almost dead Five minutes and you're almost there Five minutes and you're almost dead  Some say that I should hate them all But I say that wouldn't help at all I just want to find those guys that's all I just want to find those guys that's all That's all that's all  Five minutes and you're almost there Five minutes and you're almost dead Five minutes and you're almost there Five minutes and you're almost dead  The night time comes and the streets they ring With the fears of a thousand things But if you worry about your ports of call You'll never get nothing done at all  Five minutes and you're almost there Five minutes and you're almost dead Five minutes and you're almost there Five minutes and you're almost dead  Some say that I should hate them all But I say that wouldn't help at all I just want to find those guys that's all I just want to find those guys that's all I just want to find those guys that's all That's all
36,500 Miles,Punkrockacademyfightsong,Down by Law,"When I wake up, yeah I know I'm gonna be I'm gonna be the man who wakes up next to you When I go out, yeah I know I'm gonna be I'm gonna be the man who goes along with you  And if I get drunk, yes I know I'm gonna be I'm gonna be the man who gets drunk next to you And if I haver, whatever that means I'm gonna be the man who's havering to you  But I would walk 500 miles An' I would walk 500 more To be the man who walked a thousand miles To fall down at your door  When I'm working, yeah I know I'm gonna be I'm gonna be the man who's working hard for you And when the money comes in for the work I do I'll pass almost every penny on to you  When I come home, yeah I know I'm gonna be I'm gonna be the man who comes back home to you And if I grow old, well I know I'm gonna be I'm gonna be the man who's growing old with you  And I would walk 500 miles An' I would walk 500 more To be the man who walked a thousand miles To fall down at your door  Surrender Surrender  When I'm lonely, yes I know I'm gonna be I'm gonna be the man who's lonely without you When I'm dreaming, yes I know I'm gonna be I'm gonna dream about the time when I'm with you  An' if I get drunk, yeah I know I'm gonna be I'm gonna be the man who gets drunk next to you And if I haver, whatever the f*ck that means! I'm gonna be the man who havers next to you  And I would walk 500 miles An' I would walk 500 more To be the man who walked a thousand miles To fall down at your door  Surrender Surrender  When I'm lonely, yes I know I'm gonna be I'm gonna be the man who's lonely without you I'm gonna be the man who's coming home  'Cause I would walk 500 miles An' I would walk 500 more To be the man who walked a thousand miles To fall down at your door  Surrender Surrender"
37,7 & 7 Is,Do You Remember Rock 'n' Roll Radio?,Ramones,"When I was a boy I thought about the times I'd be a man I'd sit inside a bottle and pretend that I was in a can In my lonely room I'd sit my mind in an ice cream cone You can throw me if you wanna 'cause I'm a bone and I go Oop-ip-ip oop-ip-ip, yeah!  If I don't start cryin' it's because that I have got no eyes My father's in the fireplace and my dog lies hypnotized Through a crack of light I was unable to find my way Trapped inside a night but I'm a day and I go Oop-ip-ip oop-ip-ip, yeah!  One... Two... Three... Four!"
